EventID,ParticleName,Energy_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ
75,proton,515.857578,120.710407,0.433311,-92.000000,0.632730,90.794811,-89.149628,0.014840,-0.999794,-0.013872
279,proton,519.374966,296.190652,1.589376,-92.000000,0.877073,90.455607,-89.375443,0.010900,-0.999909,-0.007952
380,proton,510.984038,119.594455,-0.930579,-92.000000,2.510642,89.775091,-89.531485,0.008177,-0.999959,0.003925
280,proton,515.122063,254.723990,1.686576,-92.000000,-1.226328,89.092029,-89.222116,0.013575,-0.999782,0.015846
177,proton,517.073669,197.753718,-0.177217,-92.000000,-1.945925,90.271257,-90.775939,-0.013542,-0.999897,-0.004734
77,proton,513.798614,121.550446,2.401513,-92.000000,-1.800550,89.641455,-89.525314,0.008285,-0.999946,0.006258
381,proton,513.911716,125.562358,-2.989533,-92.000000,0.672475,89.464525,-90.448213,-0.007822,-0.999926,0.009346
382,proton,513.973081,122.035698,-0.461531,-92.000000,-1.571453,88.747783,-89.503124,0.008670,-0.999724,0.021854
179,proton,515.883887,203.042068,1.442732,-92.000000,2.107224,89.736389,-90.220663,-0.003851,-0.999982,0.004601
79,proton,516.054468,121.604952,-2.984990,-92.000000,-1.986860,90.083458,-91.459802,-0.025476,-0.999674,-0.001457
283,proton,515.084219,120.602250,-0.331049,-92.000000,-0.942491,89.791090,-90.507758,-0.008862,-0.999954,0.003646
384,proton,515.458821,334.426805,1.473572,-92.000000,-0.642348,90.035256,-88.456149,0.026942,-0.999637,-0.000615
182,proton,512.390484,74.590729,0.400943,-92.000000,0.621766,89.736310,-89.582184,0.007292,-0.999963,0.004602
385,proton,519.328415,124.215779,-2.406127,-92.000000,1.995263,89.159020,-90.090737,-0.001583,-0.999891,0.014677
386,neutron,145.254701,0.430650,-2.517794,-92.000000,0.900487,93.488653,-95.319673,-0.092541,-0.993848,-0.060851
185,proton,513.467540,134.964886,2.540668,-92.000000,-2.668955,90.384820,-89.755178,0.004273,-0.999968,-0.006716
388,proton,517.430536,118.065634,1.661414,-92.000000,-1.289448,89.501555,-89.733155,0.004657,-0.999951,0.008699
86,proton,515.985337,122.625056,1.516289,-92.000000,-1.440412,89.509477,-89.633362,0.006399,-0.999943,0.008561
186,proton,517.832448,244.140569,2.177142,-92.000000,-1.919356,89.390941,-87.824513,0.037958,-0.999223,0.010630
289,proton,516.595331,298.548733,-2.315776,-92.000000,1.545784,89.469979,-89.919688,0.001402,-0.999956,0.009250
88,proton,515.571118,121.145704,-1.666063,-92.000000,1.778288,90.114891,-89.543464,0.007968,-0.999966,-0.002005
